iter	Passed	Remaining
0	48	48354
1	49	24451
2	49	16495
3	50	12509
4	50	10122
5	51	8507
6	51	7364
7	52	6512
8	53	5845
9	53	5312
10	54	4875
11	54	4516
12	55	4228
13	56	3984
14	57	3776
15	58	3573
16	58	3391
17	59	3235
18	60	3098
19	60	2974
20	61	2867
21	62	2770
22	63	2700
23	64	2611
24	64	2525
25	66	2477
26	67	2415
27	67	2347
28	68	2290
29	69	2232
30	69	2179
31	70	2130
32	70	2079
33	71	2035
34	72	1994
35	72	1952
36	73	1924
37	75	1899
38	75	1866
39	76	1835
40	77	1804
41	78	1782
42	78	1754
43	79	1723
44	79	1696
45	80	1673
46	81	1647
47	81	1621
48	82	1600
49	83	1578
50	83	1558
51	84	1538
52	84	1518
53	85	1497
54	86	1478
55	86	1460
56	87	1442
57	87	1422
58	88	1406
59	89	1395
60	89	1378
61	90	1363
62	90	1348
63	91	1340
64	92	1325
65	92	1311
66	93	1299
67	93	1282
68	94	1269
69	94	1257
70	95	1246
71	95	1235
72	96	1225
73	97	1214
74	97	1203
75	98	1193
76	98	1183
77	99	1173
78	99	1164
79	100	1154
80	100	1145
81	101	1136
82	102	1128
83	102	1119
84	103	1109
85	104	1106
86	104	1097
87	105	1092
88	106	1086
89	106	1079
90	107	1071
91	107	1063
92	108	1058
93	109	1051
94	109	1045
95	110	1038
96	111	1034
97	111	1028
98	112	1022
99	112	1016
100	113	1012
101	114	1004
102	114	998
103	115	992
104	115	986
105	116	980
106	116	974
107	117	970
108	118	964
109	118	960
110	119	956
111	120	951
112	120	947
113	121	942
114	122	939
115	122	934
116	123	930
117	124	927
118	124	921
119	125	917
120	125	912
121	126	907
122	126	902
123	127	897
124	127	893
125	128	888
126	128	884
127	128	878
128	129	874
129	130	870
130	130	866
131	131	862
132	131	857
133	133	862
134	134	862
135	135	858
136	135	855
137	136	852
138	137	849
139	137	845
140	138	841
141	138	838
142	139	834
143	139	831
144	140	827
145	140	823
146	141	820
147	141	816
148	142	813
149	142	810
150	143	806
151	144	804
152	144	800
153	145	797
154	145	794
155	146	791
156	146	788
157	147	785
158	147	782
159	148	779
160	149	777
161	149	774
162	150	771
163	150	768
164	151	765
165	151	762
166	152	759
167	152	756
168	153	753
169	153	751
170	154	748
171	154	746
172	155	743
173	156	740
174	156	738
175	157	735
176	157	732
177	158	730
178	158	727
179	159	724
180	159	721
181	159	719
182	160	716
183	161	714
184	161	711
185	162	709
186	162	706
187	163	704
188	163	702
189	164	699
190	164	697
191	165	694
192	165	693
193	166	691
194	167	689
195	167	688
196	168	686
197	168	684
198	169	682
199	170	680
200	170	678
201	171	675
202	171	674
203	172	672
204	172	670
205	173	667
206	173	665
207	174	663
208	174	661
209	175	660
210	176	658
211	176	656
212	177	654
213	177	652
214	178	650
215	178	648
216	180	653
217	181	651
218	182	649
219	182	647
220	183	646
221	183	644
222	184	643
223	185	641
224	185	639
225	186	638
226	186	636
227	187	634
228	188	633
229	188	631
230	189	629
231	189	628
232	190	626
233	191	625
234	191	624
235	192	622
236	192	621
237	193	619
238	194	617
239	194	616
240	195	614
241	195	612
242	196	610
243	196	609
244	197	607
245	197	605
246	198	603
247	198	602
248	199	600
249	199	598
250	200	597
251	200	595
252	201	594
253	201	592
254	202	590
255	202	589
256	203	587
257	203	586
258	204	584
259	204	582
260	205	581
261	205	579
262	206	577
263	206	576
264	207	574
265	207	573
266	208	572
267	209	571
268	209	569
269	210	569
270	211	567
271	211	566
272	212	565
273	213	566
274	214	564
275	214	562
276	215	561
277	215	560
278	216	558
279	216	557
280	217	555
281	217	554
282	218	553
