iter	Passed	Remaining
0	1	1304
1	2	1066
2	2	913
3	3	834
4	3	768
5	4	733
6	4	699
7	5	680
8	6	662
9	6	642
10	6	629
11	7	614
12	7	603
13	8	596
14	8	586
15	9	582
16	9	574
17	10	569
18	11	568
19	11	570
20	12	577
21	12	572
22	13	568
23	13	563
24	14	562
25	14	559
26	15	558
27	16	556
28	16	555
29	17	552
30	17	552
31	18	551
32	18	548
33	19	544
34	19	542
35	20	539
36	20	537
37	21	535
38	21	534
39	22	533
40	22	531
41	23	528
42	23	527
43	24	525
44	24	523
45	25	521
46	25	519
47	26	518
48	26	515
49	27	513
50	27	511
51	28	511
52	28	510
53	29	508
54	29	508
55	30	506
56	30	505
57	31	504
58	31	502
59	31	500
60	32	500
61	32	498
62	33	497
63	33	496
64	34	495
65	34	493
66	35	492
67	35	490
68	36	489
69	36	488
70	37	487
71	37	487
72	38	486
73	39	490
74	39	489
75	40	490
76	40	490
77	41	491
78	42	490
79	42	490
80	43	489
81	43	490
82	44	487
83	44	488
84	45	487
85	46	490
86	46	490
87	47	491
88	48	492
89	49	495
90	49	494
91	50	495
92	50	494
93	51	494
94	51	493
95	52	493
96	52	492
97	53	491
98	53	490
99	54	489
100	55	489
101	55	489
102	56	489
103	56	488
104	57	489
105	57	488
106	58	488
107	59	487
108	59	487
109	60	486
110	60	485
111	61	486
112	62	487
113	62	488
114	63	488
115	63	487
116	64	485
117	64	485
118	65	485
119	66	484
120	66	483
121	66	481
122	67	480
123	67	479
124	68	479
125	69	479
126	69	478
127	70	478
128	70	478
129	71	478
130	71	477
131	72	476
132	72	475
133	73	475
134	74	474
135	74	474
136	75	473
137	75	472
138	76	472
139	76	471
140	77	471
141	77	469
142	78	469
143	78	468
144	79	467
145	79	467
146	80	466
147	81	467
148	81	467
149	82	466
150	82	466
151	83	466
152	84	465
153	84	465
154	85	464
155	85	464
156	86	462
157	86	462
158	87	461
159	87	461
160	88	460
161	88	459
162	89	458
163	89	457
164	90	457
165	91	457
166	91	456
167	92	456
168	92	456
169	93	455
170	93	454
171	94	454
172	94	453
173	95	453
174	96	453
175	96	452
176	97	452
177	97	451
178	98	451
179	98	450
180	99	449
181	99	448
182	100	447
183	100	446
184	101	446
185	101	445
186	102	444
187	102	443
188	103	442
189	103	442
190	104	441
191	104	441
192	105	441
193	105	440
194	106	439
195	107	439
196	107	438
197	108	438
198	108	437
199	109	436
200	109	436
201	110	435
202	110	434
203	111	433
204	111	433
205	112	432
206	112	431
207	113	431
208	113	430
209	114	429
210	114	429
211	115	428
212	115	428
213	116	427
214	116	426
215	117	425
216	117	425
217	118	424
218	118	423
219	119	423
220	119	422
221	120	421
222	120	420
223	121	420
224	121	419
225	122	418
226	122	418
227	123	417
228	123	416
229	124	416
230	124	415
231	125	414
232	125	414
233	126	413
234	126	413
235	127	412
236	127	411
237	128	411
238	128	410
239	129	409
240	129	409
241	130	408
242	130	407
243	131	407
244	132	406
245	132	406
246	133	405
247	133	405
248	134	404
249	134	404
250	135	403
251	135	402
252	136	402
253	136	401
254	137	401
255	138	401
256	138	400
257	139	400
258	139	399
259	140	399
260	140	398
261	141	397
262	141	397
263	142	396
264	142	396
265	143	395
266	143	395
267	144	395
268	145	394
269	145	394
270	146	393
271	146	393
272	147	393
273	148	392
274	149	393
275	149	392
276	150	392
277	150	391
278	151	391
279	151	390
280	152	390
281	153	389
282	153	389
283	154	388
284	154	388
285	155	387
286	155	387
287	156	386
288	157	386
289	157	386
290	158	385
291	159	385
292	159	385
293	160	384
294	160	383
295	161	383
296	161	382
297	162	382
298	162	381
299	163	380
300	163	380
301	164	379
302	164	379
303	165	378
304	165	378
305	166	377
306	166	376
307	167	376
308	168	375
309	168	375
310	169	374
311	169	374
312	170	373
313	170	372
314	171	372
315	171	371
316	172	371
317	172	370
318	173	370
319	174	370
320	174	369
321	175	369
322	175	368
323	176	368
324	177	367
325	177	367
326	178	366
327	178	366
328	179	365
329	179	365
330	180	364
331	180	364
332	181	363
333	181	362
334	182	362
335	182	361
336	183	361
337	184	360
338	184	359
339	185	359
340	185	358
341	186	357
342	186	357
343	187	357
344	187	356
345	188	355
346	188	355
347	189	354
348	189	354
349	190	353
350	191	353
351	191	352
352	192	352
353	192	351
354	193	350
355	193	350
356	194	349
357	194	348
358	195	348
359	195	347
360	196	347
361	196	346
362	197	346
363	197	345
364	198	344
365	198	344
366	199	343
367	199	343
368	200	342
369	201	342
370	201	341
371	202	341
372	202	340
373	203	340
374	203	339
375	204	339
376	204	338
377	205	338
378	205	337
379	206	336
380	207	336
381	207	335
382	208	335
383	208	334
384	209	334
385	209	333
386	210	333
387	210	332
388	211	332
389	212	331
390	212	331
391	213	330
392	213	330
393	214	329
394	214	328
395	215	328
396	215	327
397	216	327
398	217	326
399	217	326
400	218	325
401	218	325
402	219	324
403	219	324
404	220	323
405	220	323
406	221	322
407	221	321
408	222	321
409	222	320
410	223	320
411	223	319
412	224	318
413	224	318
414	225	317
415	226	317
416	226	316
417	227	316
418	227	315
419	228	315
420	228	314
421	229	314
422	229	313
423	230	312
424	231	312
425	231	311
426	232	311
427	232	310
428	233	310
429	233	309
430	234	309
431	234	308
432	235	308
433	235	307
434	236	306
435	236	306
436	237	305
437	237	305
438	238	304
439	239	304
440	239	303
441	240	303
442	240	302
443	241	301
444	241	301
445	242	300
446	242	300
447	243	299
448	243	299
449	244	298
450	245	299
451	246	298
452	247	298
453	247	297
454	248	297
455	248	296
456	249	296
457	249	295
458	250	295
459	250	294
460	251	293
461	251	293
462	252	292
463	252	292
464	253	291
465	254	291
466	254	290
467	255	290
468	256	289
469	256	289
470	257	288
471	257	288
472	258	287
473	258	287
474	259	286
475	260	286
476	260	285
477	261	285
478	261	284
479	262	284
480	262	283
481	263	283
482	263	282
483	264	281
484	265	281
485	265	280
486	266	280
487	266	279
488	267	279
489	267	278
490	268	278
491	268	277
492	269	276
493	269	276
494	270	275
495	270	275
496	271	275
497	272	274
498	273	274
499	274	274
500	274	273
501	275	273
502	276	272
503	276	272
504	277	271
505	277	271
506	278	270
507	278	270
508	279	269
509	280	269
510	280	268
511	281	268
512	281	267
513	282	266
514	282	266
515	283	265
516	283	264
517	284	264
